"affiliation","country","latitude","longitude"
"University of the Witwatersrand","South Africa",-26.13836,28.03455
"Vaccine Research and Development, Pfizer","United States",41.07851,-74.01445
"Kempegowda Institute of Medical Sciences","India",12.96557,77.60625
"St George’s, University of London","United Kingdom",51.4278,-0.17577
"Universidade Federal do Rio de Janeiro","Brazil",-22.863711,-43.227739
"Child Health Research Foundation","Bangladesh",23.733949,90.367599
"Universidad de Buenos Aires","Argentina",-34.59986,-58.37305
"The Chinese University of Hong Kong","China",22.41987,114.20615
"Gabrichevsky Epidemiology and Microbiology Research Institute","Russia",55.837486,37.489237
"Universidad de la Sabana","Colombia",4.861403,-74.033078
"Suez Canal University","Egypt",30.620779,32.270333
"Keio University School of Medicine","Japan",35.649145,139.742864
"University of Peradeniya","Sri Lanka",7.258967,80.597999
"Pontifícia Universidade Católica do Paraná","Brazil",-25.45195,-49.252552
"Toros University","Turkey",36.790048,34.593931
"Iaso Hospital, Athens","Greece",38.033964,23.795419
"Universidade Estadual de Londrina","Brazil",-23.324602,-51.201439
"National Reference Laboratories, Israel","Israel",31.790752,35.201894
"University of North Carolina at Chapel Hill","United States",35.907405,-79.048176
"The University of Sydney","Australia",-33.888426,151.187389
"Centers for Disease Control and Prevention","United States",33.798639,-84.327058
"Public Health England","United Kingdom",51.594929,-0.254648
"Wellcome Sanger Institute","United Kingdom",52.2034823,0.1235817
"Administración Nacional de Laboratorios e Institutos de Salud","Argentina",-34.6075682,-58.4370894
"Adolfo Lutz Institute","Brazil",-23.5506507,-46.6333824
"Aga Khan University","Pakistan",25.1446897,67.18477673
"Agence de Médecine Préventive","Togo",6.130419,1.215829
"Ben-Gurion University of the Negev","Israel",31.2516276,34.8222598
"Bill & Melinda Gates Foundation","United States",47.6038321,-122.3300624
"CDC/NCIRD/DBD/RDB","United States",33.7490987,-84.3901849
"Centro de Investigação em Saúde da Manhiça","Mozambique",-25.4038418,32.8067838
"Christian Medical College","India",12.7948109,79.0006411
"Ibn Rochd University Hospital Center","Morocco",33.5950627,-7.6187768
"Faculté de médecine et de pharmacie de Casablanca","Morocco",33.5950627,-7.6187768
"Hacettepe University","Turkey",39.9207774,32.854067
"Hamad Medical Corporation","Qatar",25.2856329,51.5264162
"Hospital Sant Joan de Deu","Spain",41.3828939,2.1774322
"Imperial College London","United Kingdom",52.2034823,0.1235817
"Instituto Nacional de Enfermedades Infecciosas","Argentina",-34.6075682,-58.4370894
"Instituto de Medicina Tropical","Peru",-12.0621065,-77.0365256
"International Centre for Diarrheal Diseases Research","Bangladesh",23.7593572,90.3788136
"Kenepuru Science Centre","New Zealand",-36.852095,174.7631803
"KEMRI Wellcome Trust, Nairobi","Kenya",-1.2832533,36.8172449
"KEMRI Wellcome Trust, Kilifi","Kenya",-3.629390,39.855952
"MAHSA University","Malaysia",2.959734,101.576440
"MRC Unit The Gambia at LSHTM","The Gambia",13.45535,-16.575646
"Malawi-Liverpool-Wellcome Trust","Malawi",-15.801953,35.015872
"Mohammed VI University of Health Sciences","Morocco",33.5950627,-7.6187768
"Moscow Research Institute for Epidemiology and Microbiology","Russia",55.7504461,37.6174943
"National Institute for Communicable Diseases","South Africa",-26.205,28.049722
"National Laboratory of Health","Slovenia",43.4208218,21.18074989
"National Medicines Institute","Poland",52.2319581,21.0067249
"Papua New Guinea Institute of Medical Research","Papua New Guinea",-5.6816069,144.2489081
"Redeemers’ University","Nigeria",7.680722,4.456444
"Rollins School of Public Health","United States",33.7490987,-84.3901849
"School of Biomedical and Allied Health Sciences","Ghana",5.5600141,-0.2057437
"Siriraj Hospital and Siam University","Thailand",13.7542529,100.493087
"The Emory Global Health Institute","United States",33.7490987,-84.3901849
"The Republican Research and Practical Center for Epidemiology and Microbiology","Belarus",53.902334,27.5618791
"The University of Hong Kong","China",22.2793278,114.1628131
"The University of Western Australia","Papua New Guinea",-5.6816069,144.2489081
"The University of the West Indies","Trinidad and Tobago",10.65782,-61.516708
"University of California","United States",37.785742,-122.440115
"University of Cambridge","United Kingdom",52.2034823,0.1235817
"University of Ibadan","Nigeria",7.3777462,3.8972497
"University of Nebraska","United States",40.8202,-96.7005
"Cambodia Oxford Medical Research Unit","Cambodia",13.3617562,103.8590321
"Oxford University Clinical Research Unit-Nepal","Nepal",27.708317,85.3205817
"University of Southampton","United Kingdom",50.935957,-1.396123
"Baylor College of Medicine","United States",29.7105,-95.3965
"Armauer Hansen Research Institute","Ethiopia",8.984874,38.760633
"Makerere University","Uganda",0.329609,32.571077
"University of Cape Town","South Africa",-33.957572,18.461199
"Amsterdam Medical Center","Netherlands",52.294099,4.959199
"Temple Street Children's University Hospital","Ireland",53.356928,-6.261954
"Shoklo Malaria Research Unit, Mae Sot","Thailand",16.707961,98.558975
"University of Glasgow","United Kingdom",55.872290,-4.288179
"International Foundation against Infectious Diseases","Nigeria",9.078379,7.397092
"Christian Medical College Vellore","India",12.92879,79.14351
"Ulm University","Germany",48.425209,9.96286
"University Hospital Carl Gustav Carus Dresden","Germany",51.055489,13.77813
"Centre Hospitalier Universitaire de Li√®ge","Belgium",50.573971,5.56981
"Centre for Genomic Pathogen Surveillance","United Kingdom",52.079764,0.185391
"University of Benin","Nigeria",6.334986,5.60512
"Namibia University of Science and Technology","Namibia",-22.567233,17.077767
"University of Gondar","Ethiopia",12.583717,37.442651
"Aminu Kano Teaching Hospital","Nigeria",11.963657,8.550453